   117
    300.0   0.14342   0.19798
    305.0   0.15725   0.13167
    310.0   0.16014   0.09532
    315.0   0.16599   0.07055
    320.0   0.16938   0.05298
    325.0   0.17233   0.04148
    330.0   0.17317   0.03317
    335.0   0.17424   0.02735
    340.0   0.17718   0.02240
    345.0   0.17658   0.01860
    350.0   0.17926   0.01574
    355.0   0.18178   0.01313
    360.0   0.18477   0.01108
    365.0   0.18635   0.00924
    370.0   0.18773   0.00802
    375.0   0.18953   0.00720
    380.0   0.19121   0.00649
    385.0   0.19207   0.00641
    390.0   0.19477   0.00710
    395.0   0.19662   0.00872
    400.0   0.19668   0.00415
    405.0   0.19738   0.00356
    410.0   0.19811   0.00300
    415.0   0.19944   0.00267
    420.0   0.20043   0.00265
    425.0   0.20159   0.00247
    430.0   0.20378   0.00245
    435.0   0.20454   0.00234
    440.0   0.20593   0.00234
    445.0   0.20694   0.00239
    450.0   0.20839   0.00240
    455.0   0.20958   0.00237
    460.0   0.21096   0.00231
    465.0   0.21186   0.00239
    470.0   0.21313   0.00228
    475.0   0.21452   0.00232
    480.0   0.21588   0.00231
    485.0   0.21679   0.00230
    490.0   0.21774   0.00232
    495.0   0.21851   0.00235
    500.0   0.21986   0.00231
    505.0   0.22062   0.00235
    510.0   0.22183   0.00234
    515.0   0.22242   0.00218
    520.0   0.22291   0.00233
    525.0   0.22351   0.00229
    530.0   0.22434   0.00225
    535.0   0.22504   0.00226
    540.0   0.22622   0.00241
    545.0   0.22694   0.00242
    550.0   0.22769   0.00245
    555.0   0.22797   0.00240
    560.0   0.22852   0.00226
    565.0   0.22886   0.00228
    570.0   0.22915   0.00235
    575.0   0.22913   0.00249
    580.0   0.22949   0.00232
    585.0   0.22926   0.00233
    590.0   0.22930   0.00228
    595.0   0.22901   0.00234
    600.0   0.22905   0.00242
    605.0   0.22860   0.00247
    610.0   0.22826   0.00230
    615.0   0.22804   0.00233
    620.0   0.22772   0.00237
    625.0   0.22711   0.00230
    630.0   0.22691   0.00243
    635.0   0.22639   0.00233
    640.0   0.22608   0.00230
    645.0   0.22535   0.00236
    650.0   0.22516   0.00251
    655.0   0.22454   0.00233
    660.0   0.22403   0.00225
    665.0   0.22367   0.00240
    670.0   0.22312   0.00230
    675.0   0.22280   0.00237
    680.0   0.22240   0.00228
    685.0   0.22216   0.00219
    690.0   0.22203   0.00226
    695.0   0.22159   0.00242
    700.0   0.22177   0.00232
    705.0   0.22166   0.00230
    710.0   0.22163   0.00230
    715.0   0.22170   0.00230
    720.0   0.22164   0.00236
    725.0   0.22217   0.00241
    730.0   0.22222   0.00235
    735.0   0.22258   0.00222
    740.0   0.22270   0.00230
    745.0   0.22347   0.00241
    750.0   0.22399   0.00233
    755.0   0.22466   0.00241
    760.0   0.22499   0.00235
    765.0   0.22583   0.00232
    770.0   0.22643   0.00236
    775.0   0.22727   0.00250
    780.0   0.22814   0.00238
    785.0   0.22859   0.00246
    790.0   0.22942   0.00243
    795.0   0.22985   0.00252
    800.0   0.23061   0.00251
    805.0   0.23115   0.00254
    810.0   0.23172   0.00259
    815.0   0.23206   0.00257
    820.0   0.23226   0.00254
    825.0   0.23245   0.00268
    830.0   0.23273   0.00261
    835.0   0.23257   0.00273
    840.0   0.23274   0.00252
    845.0   0.23269   0.00266
    850.0   0.23257   0.00259
    855.0   0.23272   0.00267
    860.0   0.23242   0.00270
    865.0   0.23220   0.00283
    870.0   0.23220   0.00289
    875.0   0.23236   0.00303
    880.0   0.23204   0.00334



 C1AN12B     .ASC                        

 AN-G1M-012-B                                                            
 SJ-2b 36-80 um                                                          
 * User: ANM                                                             
 * Research Type: Student,                                               
 * NASA PI/CoI or Sponsor: PRC                                           
 * BVC: Visitor                                                          
 * Public Release Date: 10/17/2008                                       
 * Run Mode: All Samples at Each Wavelength                              
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 11.0 mm                                                
 * Scrambler: In                                                         
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 17-OCT-05   Time: 11:56:51
