   117
    300.0   0.18179   0.19537
    305.0   0.18644   0.13012
    310.0   0.19328   0.09455
    315.0   0.19460   0.06965
    320.0   0.19756   0.05277
    325.0   0.19879   0.04128
    330.0   0.20008   0.03340
    335.0   0.20299   0.02715
    340.0   0.20478   0.02200
    345.0   0.20627   0.01875
    350.0   0.20896   0.01567
    355.0   0.21163   0.01298
    360.0   0.21444   0.01094
    365.0   0.21844   0.00946
    370.0   0.22222   0.00824
    375.0   0.22713   0.00727
    380.0   0.23299   0.00686
    385.0   0.23927   0.00673
    390.0   0.24621   0.00730
    395.0   0.25237   0.00895
    400.0   0.25695   0.00463
    405.0   0.26096   0.00395
    410.0   0.26531   0.00368
    415.0   0.27029   0.00344
    420.0   0.27557   0.00332
    425.0   0.28219   0.00324
    430.0   0.28967   0.00324
    435.0   0.29734   0.00330
    440.0   0.30507   0.00335
    445.0   0.31109   0.00328
    450.0   0.31592   0.00336
    455.0   0.31966   0.00339
    460.0   0.32213   0.00329
    465.0   0.32476   0.00339
    470.0   0.32654   0.00339
    475.0   0.32917   0.00354
    480.0   0.33216   0.00341
    485.0   0.33637   0.00364
    490.0   0.34038   0.00357
    495.0   0.34559   0.00369
    500.0   0.34995   0.00371
    505.0   0.35582   0.00371
    510.0   0.36024   0.00386
    515.0   0.36555   0.00393
    520.0   0.36998   0.00384
    525.0   0.37449   0.00407
    530.0   0.37818   0.00392
    535.0   0.38276   0.00401
    540.0   0.38603   0.00391
    545.0   0.38902   0.00416
    550.0   0.39169   0.00401
    555.0   0.39454   0.00403
    560.0   0.39645   0.00416
    565.0   0.39860   0.00403
    570.0   0.40039   0.00406
    575.0   0.40268   0.00399
    580.0   0.40343   0.00414
    585.0   0.40466   0.00415
    590.0   0.40614   0.00402
    595.0   0.40715   0.00415
    600.0   0.40830   0.00417
    605.0   0.40853   0.00397
    610.0   0.40940   0.00428
    615.0   0.40987   0.00422
    620.0   0.41065   0.00409
    625.0   0.41110   0.00433
    630.0   0.41172   0.00416
    635.0   0.41212   0.00423
    640.0   0.41262   0.00421
    645.0   0.41313   0.00423
    650.0   0.41338   0.00413
    655.0   0.41358   0.00400
    660.0   0.41434   0.00406
    665.0   0.41453   0.00416
    670.0   0.41522   0.00413
    675.0   0.41555   0.00437
    680.0   0.41585   0.00426
    685.0   0.41673   0.00420
    690.0   0.41712   0.00432
    695.0   0.41742   0.00423
    700.0   0.41819   0.00423
    705.0   0.41856   0.00427
    710.0   0.41939   0.00444
    715.0   0.41983   0.00423
    720.0   0.42070   0.00430
    725.0   0.42122   0.00435
    730.0   0.42196   0.00425
    735.0   0.42297   0.00430
    740.0   0.42381   0.00441
    745.0   0.42463   0.00411
    750.0   0.42568   0.00425
    755.0   0.42697   0.00449
    760.0   0.42793   0.00443
    765.0   0.42822   0.00421
    770.0   0.42923   0.00446
    775.0   0.43025   0.00444
    780.0   0.43112   0.00440
    785.0   0.43147   0.00454
    790.0   0.43208   0.00436
    795.0   0.43284   0.00451
    800.0   0.43291   0.00438
    805.0   0.43326   0.00448
    810.0   0.43393   0.00456
    815.0   0.43375   0.00433
    820.0   0.43356   0.00442
    825.0   0.43336   0.00438
    830.0   0.43346   0.00428
    835.0   0.43285   0.00460
    840.0   0.43249   0.00439
    845.0   0.43240   0.00444
    850.0   0.43205   0.00451
    855.0   0.43138   0.00436
    860.0   0.43144   0.00439
    865.0   0.43085   0.00436
    870.0   0.43096   0.00445
    875.0   0.43028   0.00451
    880.0   0.43098   0.00483



 C1AN17A     .ASC                        

 AN-G1M-017-A                                                            
 PM-3Ba <36 um                                                           
 * User: ANM                                                             
 * Research Type: Student, Active Missions, MGS-TLS,                     
 * NASA PI/CoI or Sponsor: PRC                                           
 * BVC: Visitor                                                          
 * Public Release Date: 10/19/2008                                       
 * Run Mode: All Samples at Each Wavelength                              
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 11.0 mm                                                
 * Scrambler: In                                                         
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 19-OCT-05   Time: 12:59:49
