   117
    300.0   0.05777   0.19476
    305.0   0.06379   0.12837
    310.0   0.06213   0.09336
    315.0   0.06602   0.07032
    320.0   0.06842   0.05466
    325.0   0.07071   0.04329
    330.0   0.07326   0.03463
    335.0   0.07690   0.02793
    340.0   0.07946   0.02272
    345.0   0.08242   0.01867
    350.0   0.08450   0.01554
    355.0   0.08845   0.01306
    360.0   0.09213   0.01073
    365.0   0.09477   0.00919
    370.0   0.09768   0.00791
    375.0   0.10099   0.00694
    380.0   0.10331   0.00633
    385.0   0.10594   0.00628
    390.0   0.10864   0.00682
    395.0   0.11099   0.00850
    400.0   0.11171   0.00365
    405.0   0.11350   0.00297
    410.0   0.11502   0.00247
    415.0   0.11653   0.00212
    420.0   0.11783   0.00192
    425.0   0.11903   0.00177
    430.0   0.12006   0.00168
    435.0   0.12094   0.00158
    440.0   0.12109   0.00153
    445.0   0.12090   0.00147
    450.0   0.12124   0.00142
    455.0   0.12216   0.00144
    460.0   0.12377   0.00140
    465.0   0.12509   0.00141
    470.0   0.12614   0.00139
    475.0   0.12746   0.00141
    480.0   0.12893   0.00142
    485.0   0.13007   0.00137
    490.0   0.13125   0.00137
    495.0   0.13262   0.00135
    500.0   0.13436   0.00138
    505.0   0.13571   0.00136
    510.0   0.13724   0.00141
    515.0   0.13863   0.00147
    520.0   0.14006   0.00144
    525.0   0.14115   0.00142
    530.0   0.14247   0.00145
    535.0   0.14365   0.00146
    540.0   0.14476   0.00145
    545.0   0.14582   0.00145
    550.0   0.14675   0.00151
    555.0   0.14753   0.00147
    560.0   0.14858   0.00148
    565.0   0.14965   0.00150
    570.0   0.15033   0.00148
    575.0   0.15094   0.00145
    580.0   0.15161   0.00154
    585.0   0.15213   0.00154
    590.0   0.15268   0.00154
    595.0   0.15328   0.00162
    600.0   0.15360   0.00154
    605.0   0.15396   0.00149
    610.0   0.15425   0.00157
    615.0   0.15470   0.00153
    620.0   0.15490   0.00158
    625.0   0.15536   0.00152
    630.0   0.15554   0.00156
    635.0   0.15578   0.00156
    640.0   0.15626   0.00156
    645.0   0.15651   0.00155
    650.0   0.15672   0.00158
    655.0   0.15685   0.00159
    660.0   0.15710   0.00160
    665.0   0.15710   0.00155
    670.0   0.15758   0.00158
    675.0   0.15758   0.00156
    680.0   0.15787   0.00158
    685.0   0.15796   0.00154
    690.0   0.15798   0.00162
    695.0   0.15813   0.00162
    700.0   0.15820   0.00164
    705.0   0.15832   0.00160
    710.0   0.15846   0.00161
    715.0   0.15862   0.00162
    720.0   0.15855   0.00170
    725.0   0.15863   0.00164
    730.0   0.15883   0.00170
    735.0   0.15875   0.00164
    740.0   0.15898   0.00165
    745.0   0.15909   0.00165
    750.0   0.15923   0.00163
    755.0   0.15943   0.00168
    760.0   0.15967   0.00173
    765.0   0.15997   0.00170
    770.0   0.16020   0.00181
    775.0   0.16057   0.00185
    780.0   0.16120   0.00177
    785.0   0.16162   0.00172
    790.0   0.16239   0.00194
    795.0   0.16315   0.00193
    800.0   0.16412   0.00194
    805.0   0.16482   0.00207
    810.0   0.16580   0.00205
    815.0   0.16690   0.00197
    820.0   0.16772   0.00205
    825.0   0.16891   0.00200
    830.0   0.16973   0.00214
    835.0   0.17052   0.00212
    840.0   0.17143   0.00221
    845.0   0.17210   0.00216
    850.0   0.17282   0.00210
    855.0   0.17331   0.00219
    860.0   0.17354   0.00228
    865.0   0.17397   0.00225
    870.0   0.17388   0.00237
    875.0   0.17354   0.00257
    880.0   0.17328   0.00302



 C1AN19B     .ASC                        

 AN-G1M-019-B                                                            
 PM-2b 36-80 um                                                          
 * User: ANM                                                             
 * Research Type: Student,                                               
 * NASA PI/CoI or Sponsor: PRC                                           
 * BVC: Visitor                                                          
 * Public Release Date: 10/17/2008                                       
 * Run Mode: All Wavelengths for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 11.0 mm                                                
 * Scrambler: In                                                         
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 17-OCT-05   Time: 16:19:31
