   117
    300.0   0.09179   0.22694
    305.0   0.10088   0.14910
    310.0   0.10389   0.10898
    315.0   0.11033   0.08196
    320.0   0.11250   0.06283
    325.0   0.11655   0.04881
    330.0   0.11856   0.03861
    335.0   0.12132   0.03133
    340.0   0.12409   0.02579
    345.0   0.12689   0.02157
    350.0   0.12952   0.01758
    355.0   0.13237   0.01503
    360.0   0.13555   0.01265
    365.0   0.13975   0.01051
    370.0   0.14287   0.00908
    375.0   0.14529   0.00797
    380.0   0.14928   0.00744
    385.0   0.15263   0.00735
    390.0   0.15650   0.00801
    395.0   0.16075   0.00978
    400.0   0.16148   0.00449
    405.0   0.16322   0.00368
    410.0   0.16568   0.00307
    415.0   0.16848   0.00280
    420.0   0.17182   0.00266
    425.0   0.17575   0.00249
    430.0   0.17962   0.00245
    435.0   0.18302   0.00235
    440.0   0.18637   0.00233
    445.0   0.18881   0.00235
    450.0   0.19074   0.00224
    455.0   0.19229   0.00231
    460.0   0.19475   0.00239
    465.0   0.19660   0.00238
    470.0   0.19861   0.00242
    475.0   0.20134   0.00238
    480.0   0.20443   0.00239
    485.0   0.20748   0.00244
    490.0   0.20980   0.00240
    495.0   0.21121   0.00258
    500.0   0.21419   0.00271
    505.0   0.21631   0.00271
    510.0   0.21845   0.00264
    515.0   0.22003   0.00270
    520.0   0.22151   0.00258
    525.0   0.22254   0.00269
    530.0   0.22402   0.00278
    535.0   0.22510   0.00272
    540.0   0.22612   0.00274
    545.0   0.22637   0.00279
    550.0   0.22680   0.00272
    555.0   0.22686   0.00280
    560.0   0.22702   0.00291
    565.0   0.22670   0.00286
    570.0   0.22645   0.00291
    575.0   0.22563   0.00286
    580.0   0.22504   0.00279
    585.0   0.22474   0.00276
    590.0   0.22349   0.00284
    595.0   0.22265   0.00269
    600.0   0.22178   0.00270
    605.0   0.22062   0.00269
    610.0   0.21972   0.00265
    615.0   0.21894   0.00264
    620.0   0.21763   0.00261
    625.0   0.21658   0.00254
    630.0   0.21551   0.00246
    635.0   0.21447   0.00245
    640.0   0.21342   0.00233
    645.0   0.21229   0.00252
    650.0   0.21125   0.00247
    655.0   0.20989   0.00246
    660.0   0.20882   0.00240
    665.0   0.20757   0.00237
    670.0   0.20678   0.00238
    675.0   0.20577   0.00238
    680.0   0.20506   0.00260
    685.0   0.20422   0.00253
    690.0   0.20345   0.00243
    695.0   0.20279   0.00251
    700.0   0.20247   0.00240
    705.0   0.20163   0.00243
    710.0   0.20154   0.00251
    715.0   0.20118   0.00243
    720.0   0.20101   0.00235
    725.0   0.20063   0.00249
    730.0   0.20085   0.00245
    735.0   0.20115   0.00253
    740.0   0.20160   0.00259
    745.0   0.20223   0.00255
    750.0   0.20276   0.00263
    755.0   0.20352   0.00267
    760.0   0.20445   0.00264
    765.0   0.20543   0.00272
    770.0   0.20671   0.00273
    775.0   0.20767   0.00284
    780.0   0.20861   0.00298
    785.0   0.20955   0.00278
    790.0   0.21071   0.00301
    795.0   0.21169   0.00283
    800.0   0.21279   0.00284
    805.0   0.21360   0.00298
    810.0   0.21435   0.00298
    815.0   0.21446   0.00292
    820.0   0.21517   0.00301
    825.0   0.21530   0.00306
    830.0   0.21553   0.00291
    835.0   0.21538   0.00295
    840.0   0.21522   0.00304
    845.0   0.21442   0.00316
    850.0   0.21399   0.00316
    855.0   0.21371   0.00315
    860.0   0.21353   0.00317
    865.0   0.21326   0.00325
    870.0   0.21274   0.00318
    875.0   0.21251   0.00336
    880.0   0.21215   0.00383



 C1AN06B     .ASC                        

 AN-G1M-006-B                                                            
 PM-12b 36-80 um                                                         
 * User: ANM                                                             
 * Research Type: Student,                                               
 * NASA PI/CoI or Sponsor: PRC                                           
 * BVC: Visitor                                                          
 * Public Release Date: 10/13/2008                                       
 * Run Mode: All Samples at Each Wavelength                              
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 11.0 mm                                                
 * Scrambler: In                                                         
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 13-OCT-05   Time: 12:20:58
