   117
    300.0   0.05981   0.22600
    305.0   0.07273   0.14890
    310.0   0.07340   0.10827
    315.0   0.07529   0.08153
    320.0   0.07704   0.06243
    325.0   0.07888   0.04931
    330.0   0.08077   0.03929
    335.0   0.08343   0.03166
    340.0   0.08486   0.02583
    345.0   0.08653   0.02129
    350.0   0.08729   0.01771
    355.0   0.08996   0.01491
    360.0   0.09134   0.01224
    365.0   0.09300   0.01039
    370.0   0.09454   0.00896
    375.0   0.09595   0.00794
    380.0   0.09782   0.00724
    385.0   0.09960   0.00711
    390.0   0.10163   0.00783
    395.0   0.10355   0.00969
    400.0   0.10421   0.00433
    405.0   0.10482   0.00337
    410.0   0.10596   0.00276
    415.0   0.10718   0.00243
    420.0   0.10893   0.00217
    425.0   0.11062   0.00196
    430.0   0.11242   0.00187
    435.0   0.11446   0.00181
    440.0   0.11579   0.00176
    445.0   0.11669   0.00172
    450.0   0.11808   0.00164
    455.0   0.11982   0.00174
    460.0   0.12134   0.00172
    465.0   0.12310   0.00169
    470.0   0.12446   0.00168
    475.0   0.12615   0.00155
    480.0   0.12804   0.00152
    485.0   0.12960   0.00163
    490.0   0.13094   0.00161
    495.0   0.13240   0.00174
    500.0   0.13430   0.00168
    505.0   0.13598   0.00160
    510.0   0.13779   0.00158
    515.0   0.13930   0.00164
    520.0   0.14087   0.00162
    525.0   0.14230   0.00167
    530.0   0.14377   0.00173
    535.0   0.14494   0.00175
    540.0   0.14608   0.00176
    545.0   0.14709   0.00177
    550.0   0.14802   0.00171
    555.0   0.14920   0.00173
    560.0   0.14989   0.00173
    565.0   0.15033   0.00176
    570.0   0.15074   0.00176
    575.0   0.15119   0.00181
    580.0   0.15139   0.00179
    585.0   0.15164   0.00174
    590.0   0.15155   0.00180
    595.0   0.15147   0.00173
    600.0   0.15137   0.00172
    605.0   0.15112   0.00169
    610.0   0.15110   0.00168
    615.0   0.15109   0.00173
    620.0   0.15085   0.00178
    625.0   0.15055   0.00168
    630.0   0.15023   0.00166
    635.0   0.15008   0.00165
    640.0   0.14972   0.00160
    645.0   0.14936   0.00168
    650.0   0.14904   0.00161
    655.0   0.14882   0.00161
    660.0   0.14852   0.00166
    665.0   0.14830   0.00163
    670.0   0.14814   0.00164
    675.0   0.14778   0.00165
    680.0   0.14764   0.00175
    685.0   0.14752   0.00170
    690.0   0.14726   0.00166
    695.0   0.14726   0.00166
    700.0   0.14736   0.00167
    705.0   0.14744   0.00170
    710.0   0.14773   0.00170
    715.0   0.14802   0.00165
    720.0   0.14826   0.00170
    725.0   0.14855   0.00173
    730.0   0.14894   0.00168
    735.0   0.14951   0.00166
    740.0   0.14988   0.00172
    745.0   0.15064   0.00179
    750.0   0.15130   0.00177
    755.0   0.15208   0.00180
    760.0   0.15279   0.00187
    765.0   0.15378   0.00192
    770.0   0.15470   0.00195
    775.0   0.15570   0.00198
    780.0   0.15627   0.00195
    785.0   0.15721   0.00197
    790.0   0.15814   0.00209
    795.0   0.15877   0.00217
    800.0   0.15972   0.00216
    805.0   0.16071   0.00222
    810.0   0.16133   0.00232
    815.0   0.16181   0.00222
    820.0   0.16228   0.00234
    825.0   0.16280   0.00239
    830.0   0.16320   0.00236
    835.0   0.16342   0.00242
    840.0   0.16372   0.00241
    845.0   0.16387   0.00246
    850.0   0.16411   0.00253
    855.0   0.16414   0.00246
    860.0   0.16415   0.00249
    865.0   0.16408   0.00260
    870.0   0.16420   0.00270
    875.0   0.16417   0.00282
    880.0   0.16428   0.00331



 C1AN05B     .ASC                        

 AN-G1M-005-B                                                            
 PM-10b 36-80 um                                                         
 * User: ANM                                                             
 * Research Type: Student,                                               
 * NASA PI/CoI or Sponsor: PRC                                           
 * BVC: Visitor                                                          
 * Public Release Date: 10/13/2008                                       
 * Run Mode: All Samples at Each Wavelength                              
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 11.0 mm                                                
 * Scrambler: In                                                         
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 13-OCT-05   Time: 12:20:58
