   117
    300.0   0.15636   0.22992
    305.0   0.15912   0.15152
    310.0   0.16404   0.11088
    315.0   0.16462   0.08235
    320.0   0.16777   0.06197
    325.0   0.16991   0.04832
    330.0   0.16941   0.03867
    335.0   0.17193   0.03189
    340.0   0.17294   0.02589
    345.0   0.17413   0.02146
    350.0   0.17563   0.01825
    355.0   0.17745   0.01523
    360.0   0.17987   0.01273
    365.0   0.18037   0.01052
    370.0   0.18138   0.00921
    375.0   0.18444   0.00809
    380.0   0.18814   0.00748
    385.0   0.19258   0.00729
    390.0   0.19733   0.00816
    395.0   0.20217   0.01005
    400.0   0.20506   0.00473
    405.0   0.20847   0.00380
    410.0   0.21238   0.00328
    415.0   0.21615   0.00305
    420.0   0.22010   0.00280
    425.0   0.22562   0.00263
    430.0   0.23104   0.00272
    435.0   0.23790   0.00255
    440.0   0.24357   0.00269
    445.0   0.24877   0.00266
    450.0   0.25233   0.00263
    455.0   0.25500   0.00279
    460.0   0.25711   0.00276
    465.0   0.25862   0.00275
    470.0   0.25992   0.00273
    475.0   0.26216   0.00265
    480.0   0.26461   0.00260
    485.0   0.26742   0.00267
    490.0   0.27106   0.00281
    495.0   0.27561   0.00287
    500.0   0.28013   0.00298
    505.0   0.28496   0.00294
    510.0   0.28933   0.00309
    515.0   0.29421   0.00321
    520.0   0.29861   0.00304
    525.0   0.30449   0.00313
    530.0   0.30985   0.00333
    535.0   0.31556   0.00322
    540.0   0.32041   0.00325
    545.0   0.32513   0.00333
    550.0   0.32928   0.00318
    555.0   0.33328   0.00308
    560.0   0.33700   0.00332
    565.0   0.34016   0.00338
    570.0   0.34355   0.00336
    575.0   0.34615   0.00337
    580.0   0.34860   0.00337
    585.0   0.35181   0.00324
    590.0   0.35294   0.00345
    595.0   0.35490   0.00343
    600.0   0.35601   0.00337
    605.0   0.35740   0.00338
    610.0   0.35787   0.00337
    615.0   0.35954   0.00349
    620.0   0.36020   0.00354
    625.0   0.36109   0.00353
    630.0   0.36170   0.00347
    635.0   0.36279   0.00352
    640.0   0.36307   0.00343
    645.0   0.36381   0.00369
    650.0   0.36459   0.00367
    655.0   0.36572   0.00362
    660.0   0.36623   0.00375
    665.0   0.36715   0.00377
    670.0   0.36838   0.00372
    675.0   0.36909   0.00359
    680.0   0.36974   0.00380
    685.0   0.37041   0.00358
    690.0   0.37146   0.00355
    695.0   0.37196   0.00372
    700.0   0.37296   0.00370
    705.0   0.37321   0.00363
    710.0   0.37379   0.00362
    715.0   0.37446   0.00365
    720.0   0.37504   0.00358
    725.0   0.37501   0.00362
    730.0   0.37561   0.00351
    735.0   0.37613   0.00359
    740.0   0.37628   0.00367
    745.0   0.37690   0.00371
    750.0   0.37738   0.00371
    755.0   0.37802   0.00371
    760.0   0.37805   0.00385
    765.0   0.37826   0.00382
    770.0   0.37874   0.00387
    775.0   0.37924   0.00383
    780.0   0.37895   0.00382
    785.0   0.37877   0.00385
    790.0   0.37888   0.00402
    795.0   0.37925   0.00390
    800.0   0.37960   0.00391
    805.0   0.37926   0.00402
    810.0   0.37914   0.00418
    815.0   0.37902   0.00396
    820.0   0.37865   0.00412
    825.0   0.37867   0.00407
    830.0   0.37832   0.00391
    835.0   0.37825   0.00412
    840.0   0.37769   0.00420
    845.0   0.37744   0.00401
    850.0   0.37707   0.00419
    855.0   0.37695   0.00404
    860.0   0.37661   0.00410
    865.0   0.37640   0.00411
    870.0   0.37628   0.00425
    875.0   0.37620   0.00442
    880.0   0.37598   0.00470



 C1AN08B     .ASC                        

 AN-G1M-008-B                                                            
 SJ-3b 36-80 um                                                          
 * User: ANM                                                             
 * Research Type: Student,                                               
 * NASA PI/CoI or Sponsor: PRC                                           
 * BVC: Visitor                                                          
 * Public Release Date: 10/13/2008                                       
 * Run Mode: All Samples at Each Wavelength                              
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 11.0 mm                                                
 * Scrambler: In                                                         
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 13-OCT-05   Time: 12:20:58
