   117
    300.0   0.07819   0.18940
    305.0   0.08365   0.12502
    310.0   0.08063   0.09101
    315.0   0.08326   0.06815
    320.0   0.08444   0.05288
    325.0   0.08799   0.04181
    330.0   0.08757   0.03319
    335.0   0.08801   0.02670
    340.0   0.08656   0.02187
    345.0   0.08544   0.01793
    350.0   0.08294   0.01498
    355.0   0.08081   0.01262
    360.0   0.08019   0.01047
    365.0   0.07986   0.00864
    370.0   0.08132   0.00753
    375.0   0.08640   0.00662
    380.0   0.09292   0.00611
    385.0   0.09884   0.00596
    390.0   0.10285   0.00660
    395.0   0.10602   0.00813
    400.0   0.11099   0.00354
    405.0   0.11743   0.00285
    410.0   0.12296   0.00241
    415.0   0.13123   0.00215
    420.0   0.13995   0.00198
    425.0   0.14859   0.00196
    430.0   0.15692   0.00192
    435.0   0.16491   0.00190
    440.0   0.17262   0.00197
    445.0   0.18306   0.00188
    450.0   0.19476   0.00212
    455.0   0.20613   0.00211
    460.0   0.21707   0.00235
    465.0   0.22737   0.00231
    470.0   0.23701   0.00242
    475.0   0.24498   0.00247
    480.0   0.25104   0.00253
    485.0   0.25506   0.00258
    490.0   0.25742   0.00247
    495.0   0.25945   0.00252
    500.0   0.26339   0.00258
    505.0   0.27025   0.00275
    510.0   0.27439   0.00267
    515.0   0.28566   0.00277
    520.0   0.30048   0.00305
    525.0   0.31702   0.00316
    530.0   0.33170   0.00318
    535.0   0.34694   0.00342
    540.0   0.36143   0.00347
    545.0   0.37485   0.00370
    550.0   0.38538   0.00375
    555.0   0.39259   0.00391
    560.0   0.39706   0.00381
    565.0   0.39855   0.00386
    570.0   0.39749   0.00387
    575.0   0.39335   0.00399
    580.0   0.38907   0.00391
    585.0   0.38351   0.00384
    590.0   0.37789   0.00380
    595.0   0.37240   0.00372
    600.0   0.36700   0.00360
    605.0   0.36225   0.00348
    610.0   0.36067   0.00354
    615.0   0.35496   0.00342
    620.0   0.35259   0.00345
    625.0   0.35164   0.00343
    630.0   0.35129   0.00343
    635.0   0.35186   0.00348
    640.0   0.35323   0.00354
    645.0   0.35556   0.00349
    650.0   0.35827   0.00340
    655.0   0.36138   0.00356
    660.0   0.36511   0.00357
    665.0   0.36911   0.00352
    670.0   0.37261   0.00356
    675.0   0.37655   0.00400
    680.0   0.37989   0.00381
    685.0   0.38320   0.00381
    690.0   0.38583   0.00369
    695.0   0.38799   0.00385
    700.0   0.39006   0.00376
    705.0   0.39207   0.00392
    710.0   0.39298   0.00367
    715.0   0.39440   0.00387
    720.0   0.39511   0.00397
    725.0   0.39765   0.00390
    730.0   0.39865   0.00377
    735.0   0.39970   0.00407
    740.0   0.40098   0.00380
    745.0   0.40228   0.00398
    750.0   0.40381   0.00400
    755.0   0.40598   0.00405
    760.0   0.40844   0.00424
    765.0   0.41131   0.00386
    770.0   0.41433   0.00409
    775.0   0.41805   0.00417
    780.0   0.42149   0.00436
    785.0   0.42545   0.00436
    790.0   0.42899   0.00440
    795.0   0.43341   0.00459
    800.0   0.43702   0.00449
    805.0   0.44056   0.00473
    810.0   0.44340   0.00463
    815.0   0.44648   0.00463
    820.0   0.44936   0.00467
    825.0   0.45115   0.00452
    830.0   0.45304   0.00491
    835.0   0.45422   0.00469
    840.0   0.45473   0.00464
    845.0   0.45517   0.00486
    850.0   0.45531   0.00475
    855.0   0.45528   0.00468
    860.0   0.45398   0.00483
    865.0   0.45301   0.00465
    870.0   0.45158   0.00473
    875.0   0.44916   0.00491
    880.0   0.44569   0.00503



 C1AN10A     .ASC                        

 AN-G1M-010-A                                                            
 PM-3a <63 um                                                            
 * User: ANM                                                             
 * Research Type: Student,                                               
 * NASA PI/CoI or Sponsor: PRC                                           
 * BVC: Visitor                                                          
 * Public Release Date: 10/14/2008                                       
 * Run Mode: All Wavelengths for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 11.0 mm                                                
 * Scrambler: In                                                         
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 14-OCT-05   Time: 10:55:52
