   117
    300.0   0.07361   0.19485
    305.0   0.07652   0.12816
    310.0   0.08322   0.09264
    315.0   0.08745   0.06972
    320.0   0.09114   0.05376
    325.0   0.09464   0.04232
    330.0   0.09746   0.03350
    335.0   0.09893   0.02701
    340.0   0.10070   0.02215
    345.0   0.10183   0.01847
    350.0   0.10408   0.01542
    355.0   0.10627   0.01263
    360.0   0.10746   0.01069
    365.0   0.10974   0.00906
    370.0   0.11189   0.00779
    375.0   0.11451   0.00684
    380.0   0.11686   0.00628
    385.0   0.11999   0.00619
    390.0   0.12296   0.00680
    395.0   0.12609   0.00847
    400.0   0.12729   0.00383
    405.0   0.12923   0.00310
    410.0   0.13114   0.00257
    415.0   0.13322   0.00223
    420.0   0.13573   0.00212
    425.0   0.13894   0.00199
    430.0   0.14217   0.00194
    435.0   0.14563   0.00191
    440.0   0.14814   0.00189
    445.0   0.15050   0.00192
    450.0   0.15271   0.00192
    455.0   0.15463   0.00190
    460.0   0.15620   0.00191
    465.0   0.15759   0.00190
    470.0   0.15887   0.00184
    475.0   0.16061   0.00188
    480.0   0.16230   0.00192
    485.0   0.16423   0.00192
    490.0   0.16595   0.00195
    495.0   0.16822   0.00195
    500.0   0.17077   0.00199
    505.0   0.17325   0.00201
    510.0   0.17579   0.00207
    515.0   0.17830   0.00204
    520.0   0.18040   0.00208
    525.0   0.18268   0.00204
    530.0   0.18475   0.00208
    535.0   0.18687   0.00213
    540.0   0.18872   0.00226
    545.0   0.19047   0.00225
    550.0   0.19176   0.00231
    555.0   0.19336   0.00236
    560.0   0.19425   0.00232
    565.0   0.19551   0.00227
    570.0   0.19613   0.00236
    575.0   0.19691   0.00238
    580.0   0.19732   0.00227
    585.0   0.19778   0.00232
    590.0   0.19807   0.00236
    595.0   0.19827   0.00237
    600.0   0.19851   0.00244
    605.0   0.19855   0.00249
    610.0   0.19877   0.00235
    615.0   0.19883   0.00243
    620.0   0.19886   0.00244
    625.0   0.19867   0.00241
    630.0   0.19859   0.00247
    635.0   0.19870   0.00235
    640.0   0.19852   0.00240
    645.0   0.19830   0.00240
    650.0   0.19846   0.00249
    655.0   0.19811   0.00236
    660.0   0.19810   0.00255
    665.0   0.19812   0.00253
    670.0   0.19816   0.00249
    675.0   0.19812   0.00254
    680.0   0.19836   0.00249
    685.0   0.19843   0.00244
    690.0   0.19838   0.00254
    695.0   0.19834   0.00255
    700.0   0.19855   0.00254
    705.0   0.19861   0.00250
    710.0   0.19884   0.00254
    715.0   0.19905   0.00257
    720.0   0.19944   0.00258
    725.0   0.19971   0.00256
    730.0   0.20000   0.00262
    735.0   0.20036   0.00251
    740.0   0.20070   0.00257
    745.0   0.20148   0.00270
    750.0   0.20209   0.00253
    755.0   0.20270   0.00269
    760.0   0.20356   0.00265
    765.0   0.20400   0.00260
    770.0   0.20485   0.00262
    775.0   0.20544   0.00276
    780.0   0.20620   0.00268
    785.0   0.20696   0.00272
    790.0   0.20743   0.00272
    795.0   0.20798   0.00279
    800.0   0.20876   0.00283
    805.0   0.20911   0.00287
    810.0   0.20944   0.00279
    815.0   0.20947   0.00286
    820.0   0.20967   0.00287
    825.0   0.20942   0.00294
    830.0   0.20938   0.00299
    835.0   0.20901   0.00306
    840.0   0.20884   0.00292
    845.0   0.20835   0.00288
    850.0   0.20795   0.00290
    855.0   0.20747   0.00299
    860.0   0.20680   0.00297
    865.0   0.20607   0.00307
    870.0   0.20559   0.00302
    875.0   0.20515   0.00326
    880.0   0.20442   0.00352



 C1AN18B     .ASC                        

 AN-G1M-018-B                                                            
 SJ-1Bb 36-80 um                                                         
 * User: ANM                                                             
 * Research Type: Student,                                               
 * NASA PI/CoI or Sponsor: PRC                                           
 * BVC: Visitor                                                          
 * Public Release Date: 10/17/2008                                       
 * Run Mode: All Samples at Each Wavelength                              
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 11.0 mm                                                
 * Scrambler: In                                                         
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 17-OCT-05   Time: 11:56:51
