   117
    300.0   0.12263   0.18762
    305.0   0.12244   0.12387
    310.0   0.12917   0.09093
    315.0   0.13297   0.06838
    320.0   0.13800   0.05165
    325.0   0.14361   0.04028
    330.0   0.14458   0.03204
    335.0   0.14916   0.02615
    340.0   0.15114   0.02168
    345.0   0.15444   0.01778
    350.0   0.15621   0.01497
    355.0   0.15940   0.01284
    360.0   0.16355   0.01065
    365.0   0.16483   0.00903
    370.0   0.16601   0.00767
    375.0   0.16992   0.00687
    380.0   0.17438   0.00634
    385.0   0.17953   0.00632
    390.0   0.18456   0.00683
    395.0   0.18931   0.00846
    400.0   0.19298   0.00398
    405.0   0.19670   0.00342
    410.0   0.20023   0.00299
    415.0   0.20392   0.00265
    420.0   0.20801   0.00255
    425.0   0.21294   0.00251
    430.0   0.21854   0.00248
    435.0   0.22394   0.00249
    440.0   0.23008   0.00251
    445.0   0.23538   0.00234
    450.0   0.23895   0.00251
    455.0   0.24252   0.00258
    460.0   0.24535   0.00252
    465.0   0.24772   0.00248
    470.0   0.24995   0.00247
    475.0   0.25117   0.00230
    480.0   0.25434   0.00263
    485.0   0.25748   0.00258
    490.0   0.26107   0.00265
    495.0   0.26570   0.00266
    500.0   0.27052   0.00278
    505.0   0.27572   0.00281
    510.0   0.28140   0.00294
    515.0   0.28716   0.00292
    520.0   0.29371   0.00296
    525.0   0.29996   0.00307
    530.0   0.30718   0.00306
    535.0   0.31404   0.00312
    540.0   0.32096   0.00311
    545.0   0.32756   0.00320
    550.0   0.33331   0.00326
    555.0   0.33810   0.00331
    560.0   0.34333   0.00325
    565.0   0.34772   0.00349
    570.0   0.35236   0.00335
    575.0   0.35574   0.00335
    580.0   0.35911   0.00350
    585.0   0.36203   0.00352
    590.0   0.36459   0.00373
    595.0   0.36695   0.00367
    600.0   0.36884   0.00371
    605.0   0.37115   0.00357
    610.0   0.37293   0.00363
    615.0   0.37449   0.00377
    620.0   0.37582   0.00369
    625.0   0.37727   0.00368
    630.0   0.37785   0.00363
    635.0   0.37928   0.00369
    640.0   0.38084   0.00385
    645.0   0.38211   0.00395
    650.0   0.38374   0.00377
    655.0   0.38578   0.00360
    660.0   0.38754   0.00390
    665.0   0.38941   0.00386
    670.0   0.39207   0.00390
    675.0   0.39334   0.00383
    680.0   0.39612   0.00379
    685.0   0.39796   0.00384
    690.0   0.39997   0.00385
    695.0   0.40176   0.00383
    700.0   0.40307   0.00392
    705.0   0.40476   0.00393
    710.0   0.40602   0.00410
    715.0   0.40728   0.00398
    720.0   0.40839   0.00417
    725.0   0.41134   0.00412
    730.0   0.41224   0.00403
    735.0   0.41310   0.00397
    740.0   0.41392   0.00405
    745.0   0.41459   0.00409
    750.0   0.41569   0.00408
    755.0   0.41600   0.00408
    760.0   0.41615   0.00403
    765.0   0.41650   0.00394
    770.0   0.41682   0.00404
    775.0   0.41698   0.00424
    780.0   0.41664   0.00385
    785.0   0.41680   0.00430
    790.0   0.41615   0.00425
    795.0   0.41601   0.00422
    800.0   0.41581   0.00422
    805.0   0.41503   0.00427
    810.0   0.41467   0.00413
    815.0   0.41433   0.00423
    820.0   0.41380   0.00414
    825.0   0.41361   0.00431
    830.0   0.41327   0.00419
    835.0   0.41245   0.00433
    840.0   0.41218   0.00412
    845.0   0.41153   0.00441
    850.0   0.41085   0.00427
    855.0   0.41039   0.00418
    860.0   0.41036   0.00424
    865.0   0.40934   0.00442
    870.0   0.40852   0.00427
    875.0   0.40776   0.00455
    880.0   0.40713   0.00466



 C1AN11A     .ASC                        

 AN-G1M-011-A                                                            
 SJ-1a <63 um                                                            
 * User: ANM                                                             
 * Research Type: Student,                                               
 * NASA PI/CoI or Sponsor: PRC                                           
 * BVC: Visitor                                                          
 * Public Release Date: 10/14/2008                                       
 * Run Mode: All Wavelengths for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 11.0 mm                                                
 * Scrambler: In                                                         
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 14-OCT-05   Time: 16:34:46
